result,table,_start,_stop,_time,_field,_measurement,defrost_wp,hp_current_flow_rate,kamin_an,ml_vorlauftemperatur,nibe_bt1_outdoor_temperature,nibe_bt2_supply_temp_s1,nibe_eb100_ep14_bt3_return_temp,nibe_el_leistung,pv_leistung_gefiltert,rt_mittelwert,rt_wz,tv_an,warmwassermodus
_result,0,2026-03-08 13:45:55.456497+00:00,2026-04-07 13:45:55.456497+00:00,2026-03-08 13:50:00+00:00,value,sensor,0.0,12.2,0.0,24.5,13.424999999999999,23.2,23.2,19.0,3165.0,22.76,23.3,1.0,0.0
_result,0,2026-03-08 13:45:55.456497+00:00,2026-04-07 13:45:55.456497+00:00,2026-03-08 13:55:00+00:00,value,sensor,0.0,12.2,0.0,24.5,13.4,23.2,23.2,19.0,3076.0,22.76,23.3,1.0,0.0
_result,0,2026-03-08 13:45:55.456497+00:00,2026-04-07 13:45:55.456497+00:00,2026-03-08 14:00:00+00:00,value,sensor,0.0,12.2,0.0,24.5,13.4,23.2,23.2,19.0,2922.0,22.764000000000003,23.3,1.0,0.0
_result,0,2026-03-08 13:45:55.456497+00:00,2026-04-07 13:45:55.456497+00:00,2026-03-08 14:05:00+00:00,value,sensor,0.0,12.2,0.0,24.5,13.4,23.2,23.2,19.0,2852.0,22.772000000000002,23.3,1.0,0.0
_result,0,2026-03-08 13:45:55.456497+00:00,2026-04-07 13:45:55.456497+00:00,2026-03-08 14:10:00+00:00,value,sensor,0.0,12.2,0.0,24.5,13.4,23.2,23.2,19.0,2672.0,22.766,23.3,1.0,0.0
_result,0,2026-03-08 13:45:55.456497+00:00,2026-04-07 13:45:55.456497+00:00,2026-03-08 14:15:00+00:00,value,sensor,0.0,12.2,0.0,24.5,13.4,23.2,23.18,19.0,2572.0,22.77,23.3,1.0,0.0
_result,0,2026-03-08 13:45:55.456497+00:00,2026-04-07 13:45:55.456497+00:00,2026-03-08 14:20:00+00:00,value,sensor,0.0,12.2,0.0,24.5,13.4,23.16,23.2,19.0,2588.0,22.77,23.3,1.0,0.0
_result,0,2026-03-08 13:45:55.456497+00:00,2026-04-07 13:45:55.456497+00:00,2026-03-08 14:25:00+00:00,value,sensor,0.0,12.2,0.0,24.5,13.38,23.119999999999997,23.2,19.0,2480.0,22.77,23.3,1.0,0.0
_result,0,2026-03-08 13:45:55.456497+00:00,2026-04-07 13:45:55.456497+00:00,2026-03-08 14:30:00+00:00,value,sensor,0.0,12.2,0.0,24.5,13.4,23.119999999999997,23.18,19.0,2332.0,22.768,23.3,1.0,0.0
_result,0,2026-03-08 13:45:55.456497+00:00,2026-04-07 13:45:55.456497+00:00,2026-03-08 14:35:00+00:00,value,sensor,0.0,12.2,0.0,24.5,13.48,23.1,23.159999999999997,19.0,2476.0,22.766,23.3,1.0,0.0
_result,0,2026-03-08 13:45:55.456497+00:00,2026-04-07 13:45:55.456497+00:00,2026-03-08 14:40:00+00:00,value,sensor,0.0,12.2,0.0,24.5,13.6,23.1,23.18,19.0,2494.0,22.77,23.3,1.0,0.0
_result,0,2026-03-08 13:45:55.456497+00:00,2026-04-07 13:45:55.456497+00:00,2026-03-08 14:45:00+00:00,value,sensor,0.0,12.2,0.0,24.5,13.6,23.1,23.119999999999997,19.0,2410.0,22.76,23.3,1.0,0.0
_result,0,2026-03-08 13:45:55.456497+00:00,2026-04-07 13:45:55.456497+00:00,2026-03-08 14:50:00+00:00,value,sensor,0.0,12.2,0.0,24.5,13.6,23.1,23.119999999999997,19.0,2336.0,22.764,23.3,1.0,0.0
_result,0,2026-03-08 13:45:55.456497+00:00,2026-04-07 13:45:55.456497+00:00,2026-03-08 14:55:00+00:00,value,sensor,0.0,12.2,0.0,24.5,13.6,23.1,23.140000000000004,19.0,2348.0,22.75,23.3,1.0,0.0
_result,0,2026-03-08 13:45:55.456497+00:00,2026-04-07 13:45:55.456497+00:00,2026-03-08 15:00:00+00:00,value,sensor,0.0,12.2,0.0,24.5,13.6,23.1,23.1,19.0,2232.0,22.75,23.3,1.0,0.0
_result,0,2026-03-08 13:45:55.456497+00:00,2026-04-07 13:45:55.456497+00:00,2026-03-08 15:05:00+00:00,value,sensor,0.0,12.2,0.0,24.5,13.559999999999999,23.1,23.1,32.0,2088.0,22.758,23.3,1.0,0.0
_result,0,2026-03-08 13:45:55.456497+00:00,2026-04-07 13:45:55.456497+00:00,2026-03-08 15:10:00+00:00,value,sensor,0.0,12.2,0.0,24.5,13.579999999999998,23.1,23.1,30.0,2100.0,22.768,23.3,1.0,0.0
_result,0,2026-03-08 13:45:55.456497+00:00,2026-04-07 13:45:55.456497+00:00,2026-03-08 15:15:00+00:00,value,sensor,0.0,12.2,0.0,24.5,13.48,23.1,23.1,22.0,2000.0,22.76,23.3,1.0,0.0
_result,0,2026-03-08 13:45:55.456497+00:00,2026-04-07 13:45:55.456497+00:00,2026-03-08 15:20:00+00:00,value,sensor,0.0,12.2,0.0,24.5,13.419999999999998,23.1,23.1,20.8,1842.0,22.76,23.3,1.0,0.0
_result,0,2026-03-08 13:45:55.456497+00:00,2026-04-07 13:45:55.456497+00:00,2026-03-08 15:25:00+00:00,value,sensor,0.0,12.2,0.0,24.5,13.4,23.1,23.1,19.0,1742.0,22.76,23.3,1.0,0.0
